Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
EUR / CUP,欧元 / 古巴比索,24.9417,-0.096131893,-0.024,24.9417,24.9437,24.9728,24.9368,Sell
EUR / CVE,欧元 / 佛得角盾,110.265,0,0,110.265,110.265,110.265,110.265,Neutral
EUR / CZK,欧元 / 捷克克朗,25.162,0.015899515,0.004,25.156,25.1892,25.189,25.162,Buy
EUR / DJF,欧元 / 吉布提法郎,185.6,0.107874865,0.2,185.6,185.8,185.8,185.4,Buy
EUR / DKK,欧元 / 丹麦克朗,7.45984,-0.014207401,-0.00106,7.45992,7.46118,7.4623,7.4597,Sell
EUR / DOP,欧元 / 多米尼加比索,64.363,-0.096235933,-0.062,64.363,64.383,64.443,64.276,Buy
EUR / DZD,欧元 / 阿尔及利亚第纳尔,140.809,-0.267023643,-0.377,140.809,140.829,141.432,140.809,Strong Sell
EUR / EGP,欧元 / 埃及镑,52.2943,-0.085595664,-0.0448,52.2943,52.2963,52.3544,52.2865,Sell
EUR / ERN,欧元 / 厄立特里亚纳克法,15.725,-0.120680894,-0.019,15.725,15.765,15.745,15.725,Sell
EUR / ETB,欧元 / 埃塞俄比亚比尔,131.315,-1.10653142,-1.4693,131.315,131.317,132.5353,131.2425,Sell
EUR / FJD,欧元 / 斐济元,2.4018,0.024987506,0.0006,2.4018,2.4038,2.4244,2.4014,Sell
EUR / FKP,欧元 / 福克兰群岛镑,0.8297,-0.024099289,-0.0002,0.8297,0.8337,0.8302,0.8297,Sell
EUR / GBP,欧元 / 英镑,0.83164,-0.018033398,-0.00015,0.83164,0.8317,0.83218,0.83145,Sell
EUR / GEL,欧元 / 格鲁吉亚拉里,2.9432,0.7738136,0.0226,2.9432,2.9452,2.9439,2.9432,Sell
EUR / GHS,欧元 / 加纳塞地,16.0067,-0.114196568,-0.0183,16.0067,16.0087,16.0267,16.0043,Buy
EUR / GIP,欧元 / 直布罗陀镑,0.8277,-0.024157507,-0.0002,0.8277,0.8357,0.8282,0.8277,Sell
EUR / GMD,欧元 / 冈比亚达拉西,74.992,-0.299134504,-0.225,74.992,75.012,75.238,74.703,Buy
EUR / GNF,欧元 / 几内亚法郎,8994,-0.095527959,-8.6,8994,8996,9005.2,8993.5,Neutral
EUR / GTQ,欧元 / 危地马拉格查尔,8.017,-0.112135559,-0.009,8.017,8.037,8.027,8.017,Neutral
EUR / GYD,欧元 / 圭亚那元,217.09,-0.115027146,-0.25,217.09,217.29,217.36,217.09,Sell
EUR / HKD,欧元 / 港元,8.092,-0.074092368,-0.006,8.0918,8.094,8.1026,8.0915,Neutral
EUR / HNL,欧元 / 洪都拉斯伦皮拉,26.534,-0.116694899,-0.031,26.534,26.554,26.567,26.534,Buy
EUR / HRK,欧元 / 克罗地亚库纳,7.5345,0,0,7.5345,7.5345,7.5345,7.5345,Neutral
EUR / HTG,欧元 / 海地古德,137.882,-0.118077439,-0.163,137.882,137.902,138.053,136.291,Neutral
EUR / HUF,欧元 / 匈牙利福林,405.84,-0.013796638,-0.056,405.84,406.84,406.16,405.83,Sell
EUR / IDR,欧元 / 印尼盾,16964,0.18307447,31,16964,16984,16985,16946,Buy
EUR / ILS,欧元 / 以色列谢克尔,3.675,-0.065263501,-0.0024,3.675,3.6869,3.6866,3.675,Strong Sell
EUR / INR,欧元 / 印度卢比,90.949,0.106326305,0.0966,90.9482,90.9594,91.0133,90.8154,Strong Buy
EUR / IQD,欧元 / 伊拉克第纳尔,1361,-0.110091743,-1.5,1361,1361.8,1362.6,1361,Sell
EUR / IRR,欧元 / 伊朗里亚尔,43651.4,-0.114184246,-49.9,43651.4,43653.4,43705.8,43641.2,Sell
EUR / ISK,欧元 / 冰岛克朗,146.77,-0.140158938,-0.206,146.77,146.85,146.82,146.736,Buy
EUR / JMD,欧元 / 牙买加元,163.822,-0.045760447,-0.075,163.822,163.842,164.026,163.796,Buy
EUR / JOD,欧元 / 约旦第纳尔,0.7365,-0.176199512,-0.0013,0.7365,0.7385,0.7379,0.7365,Sell
EUR / JPY,欧元 / 日元,158.153,-0.376690541,-0.598,158.157,158.168,158.858,157.922,Strong Sell
EUR / KES,欧元 / 肯尼亚先令,134.426,-0.114430079,-0.154,134.426,134.446,134.594,134.409,Sell
EUR / KGS,欧元 / 吉尔吉斯斯坦索姆,91.098,0.789962825,0.714,91.098,91.118,91.098,90.997,Buy
EUR / KHR,欧元 / 柬埔寨瑞尔,4168.6,-0.09586349,-4,4168.6,4170.6,4175,4168.6,Sell
EUR / KPW,欧元 / 朝鲜元,935.31,-0.096132278,-0.9,935.31,935.39,936.48,935.13,Sell
EUR / KRW,欧元 / 韩元,1504.6,0.213134408,3.2,1504.6,1506.6,1505.5,1501.4,Strong Buy
EUR / KWD,欧元 / 科威特第纳尔,0.32081,-0.248748484,-0.0008,0.32081,0.32101,0.32154,0.32081,Neutral
EUR / KYD,欧元 / 开曼元,0.8512,-0.093896714,-0.0008,0.8512,0.8532,0.8523,0.8512,Sell
EUR / KZT,欧元 / 哈萨克斯坦坚戈,536.95,-0.115333817,-0.62,536.95,537.15,537.62,536.09,Sell
EUR / LAK,欧元 / 老挝基普,22484.72,-0.096150599,-21.64,22484.72,22484.92,22512.74,22478.65,Sell
EUR / LBP,欧元 / 黎巴嫩镑,93066.5,-0.096182644,-89.6,93066.5,93068.5,93182.5,93042.6,Sell
EUR / LKR,欧元 / 斯里兰卡卢比,310.267,-0.249162493,-0.775,310.267,310.287,310.422,310.23,Buy
EUR / LRD,欧元 / 利比里亚元,205.005,-0.114013419,-0.234,205.005,205.025,205.26,204.967,Buy
EUR / LSL,欧元 / 西南地段,19.4241,1.224653579,0.235,19.4241,19.4261,19.4429,19.4241,Buy
EUR / LYD,欧元 / 利比亚第纳尔,5.1027,-0.113536263,-0.0058,5.1027,5.1035,5.1161,5.102,Sell
EUR / MAD,欧元 / 摩洛哥迪拉姆,10.405,-0.038428283,-0.004,10.405,10.425,10.41,10.405,Sell
EUR / MDL,欧元 / 摩尔多瓦列伊,19.362,-0.098034157,-0.019,19.362,19.382,19.386,19.362,Buy
EUR / MGA,欧元 / 马达加斯加阿里亚里,4888.1,-0.114432842,-5.6,4888.1,4890.1,4894.1,4880.7,Neutral
EUR / MKD,欧元 / 马其顿第纳尔,61.256,-0.330301502,-0.203,61.256,61.276,61.531,61.256,Strong Sell
EUR / MMK,欧元 / 缅元,2180.72,-0.118169743,-2.58,2180.72,2181.52,2183.43,2180.72,Sell
EUR / MNT,欧元 / 蒙古图格里克,3592.87,-0.11426252,-4.11,3592.87,3593.07,3597.34,3592.07,Buy
EUR / MOP,欧元 / 澳门元,8.3565,0.551096779,0.0458,8.3565,8.3585,8.3631,8.3191,Buy
EUR / MRU,欧元 / 毛里塔尼亚乌吉亚,41.738,-0.114871009,-0.048,41.738,41.758,41.79,41.738,Neutral
EUR / MUR,欧元 / 毛里求斯卢比,48.4,-0.327436726,-0.159,48.4,48.42,48.661,48.4,Sell
EUR / MVR,欧元 / 马尔代夫拉菲亚,16.057,-0.099545822,-0.016,16.057,16.077,16.077,16.057,Sell
EUR / MWK,欧元 / 马拉维克瓦查,1801.762,-0.114368079,-2.063,1801.762,1801.782,1804.007,1801.279,Sell
EUR / MXN,欧元 / 墨西哥比索,21.38891,-0.081704537,-0.01749,21.3888,21.4,21.4356,21.38891,Buy
EUR / MYR,欧元 / 马来西亚林吉特,4.6004,-0.002173677,-0.0001,4.6004,4.6024,4.6013,4.5922,Sell
EUR / MZN,欧元 / 莫桑比克梅蒂卡尔,66.027,-0.114972089,-0.076,66.027,66.107,66.109,66.027,Sell
EUR / NAD,欧元 / 纳米比亚元,19.285,-0.010369679,-0.002,19.285,19.305,19.293,19.285,Sell
EUR / NGN,欧元 / 尼日利亚奈拉,1555.61,-0.114293786,-1.78,1555.61,1555.81,1558.85,1555.37,Sell
EUR / NIO,欧元 / 尼加拉瓜科多巴,38.053,-0.099761098,-0.038,38.053,38.073,38.1,38.053,Sell
EUR / NOK,欧元 / 挪威克朗,11.6812,0.094171399,0.01099,11.6805,11.6888,11.69619,11.6663,Sell
EUR / NPR,欧元 / 尼泊尔卢比,145.559,-0.051498963,-0.075,145.559,145.579,145.567,143.915,Strong Buy
EUR / NZD,欧元 / 新西兰元,1.8317,0.142146411,0.0026,1.83168,1.83216,1.83443,1.82786,Buy
EUR / OMR,欧元 / 阿曼里亚尔,0.40002,-0.114862165,-0.00046,0.40002,0.40022,0.40052,0.40002,Sell
EUR / PAB,欧元 / 巴拿马巴波亚,1.0383,-0.096218609,-0.001,1.0383,1.0403,1.0396,1.0383,Sell
EUR / PEN,欧元 / 秘鲁索尔,3.8613,-0.113821559,-0.0044,3.8613,3.8633,3.8661,3.8613,Sell
EUR / PHP,欧元 / 菲律宾比索,60.373,0.262393091,0.158,60.373,60.393,60.389,60.195,Sell
EUR / PKR,欧元 / 巴基斯坦卢比,289.804,-0.114084823,-0.331,289.804,289.824,290.212,289.743,Neutral
EUR / PLN,欧元 / 波兰兹罗提,4.2032,0.083339286,0.0035,4.2032,4.206,4.2048,4.1947,Sell
EUR / PYG,欧元 / 巴拉圭瓜拉尼,8213.43,-0.114437348,-9.41,8213.43,8213.63,8223.67,8211.34,Sell
EUR / QAR,欧元 / 卡塔尔里亚尔,3.7825,-0.11355234,-0.0043,3.7825,3.7845,3.7872,3.7825,Sell
EUR / RON,欧元 / 罗马尼亚列伊,4.9751,0,0,4.9751,4.9771,4.9763,4.9724,Buy
EUR / RSD,欧元 / 塞尔维亚第纳尔,116.7627,-0.012759296,-0.0149,116.7627,117.4027,116.8253,116.7627,Sell
EUR / RUB,欧元 / 俄罗斯卢布,101.835,-0.097121667,-0.099,101.835,101.855,101.95,101.324,Sell
EUR / RWF,欧元 / 卢旺达法郎,1444.8,-0.114762938,-1.66,1444.8,1445,1446.6,1444.6,Buy
EUR / SAR,欧元 / 沙特里亚尔,3.8969,-0.079487179,-0.0031,3.8976,3.898,3.9025,3.8948,Sell
EUR / SBD,欧元 / 所罗门群岛元,8.7704,0.06046708,0.0053,8.7704,8.7724,8.7977,8.7704,Sell
EUR / SCR,欧元 / 塞舌尔卢比,15.571,-0.114184543,-0.0178,15.571,15.573,15.5904,15.5687,Neutral
EUR / SDG,欧元 / 苏丹镑,622.4857,-0.11822423,-0.7368,622.4857,622.4937,623.2614,622.32,Sell
EUR / SEK,欧元 / 瑞典克朗,11.3423,-0.008551326,-0.00097,11.3423,11.3498,11.355,11.3423,Strong Sell
EUR / SGD,欧元 / 新加坡元,1.4028,0.034228992,0.00048,1.4028,1.404,1.4035,1.40221,Sell
EUR / SHP,欧元 / 圣赫勒拿镑,0.8277,-0.024157507,-0.0002,0.8277,0.8357,0.8282,0.8277,Sell
EUR / SLL,欧元 / 塞拉利昂利昂,23568.28,-0.114345,-26.98,23568.28,23568.48,23597.64,23561.9,Neutral
EUR / SOS,欧元 / 索马里先令,593.3,-0.33429085,-1.99,593.3,593.5,593.87,593.3,Sell
EUR / SRD,欧元 / 苏里南元,36.5141,-0.114345427,-0.0418,36.5141,36.5161,36.5596,36.5059,Buy
EUR / STN,欧元 / 圣多美多布拉,24.5,0,0,24.5,24.5,24.5,24.5,Neutral
EUR / SVC,欧元 / 萨尔瓦多科朗,9.084,-0.087989441,-0.008,9.084,9.104,9.095,9.084,Sell
EUR / SYP,欧元 / 叙利亚镑,13512.039,-0.114374329,-15.472,13512.039,13512.359,13528.876,13508.588,Sell
EUR / SZL,欧元 / 斯威士兰日,19.2768,-0.006224712,-0.0012,19.2768,19.2788,19.3055,19.2566,Sell
EUR / THB,欧元 / 泰铢,34.916,0.114692052,0.04,34.916,34.996,34.954,34.876,Sell
EUR / TJS,欧元 / 塔吉克斯坦索莫尼,11.3736,0.139993132,0.0159,11.3736,11.3756,11.386,11.3736,Buy
EUR / TMT,欧元 / 土库曼斯坦马纳特,3.6539,0.981096617,0.0355,3.6539,3.6579,3.6557,3.6539,Neutral
EUR / TND,欧元 / 突尼斯第纳尔,3.3044,-0.11486609,-0.0038,3.3044,3.3064,3.3085,3.3039,Strong Sell
EUR / TRY,欧元 / 土耳其里拉,37.3811,0.059664641,0.02229,37.4087,37.4234,37.4565,37.2923,Buy
EUR / TTD,欧元 / 特立尼达元,7.0303,-0.115082973,-0.0081,7.0303,7.0323,7.0391,7.0303,Sell
EUR / TWD,欧元 / 新台币,34.166,-0.055579933,-0.019,34.166,34.186,34.201,34.143,Neutral
EUR / TZS,欧元 / 坦桑尼亚先令,2647.47,-0.114318053,-3.03,2647.47,2647.67,2650.76,2646.93,Buy
EUR / UAH,欧元 / 乌克兰格里夫纳,43.5249,-0.114286501,-0.0498,43.5249,43.5269,43.5791,43.5147,Sell
EUR / UGX,欧元 / 乌干达先令,3823.9,-0.11232433,-4.3,3823.9,3825.9,3828.6,3823.9,Sell
EUR / USD,欧元 / 美元,1.0392,-0.097095779,-0.00101,1.03921,1.03927,1.04058,1.03898,Sell
EUR / UYU,欧元 / 乌拉圭比索,45.265,-0.114747225,-0.052,45.265,45.285,45.322,45.265,Neutral
EUR / VES,欧元 / 委内瑞拉玻利瓦尔,61.716092,-0.11174371,-0.069041,61.716092,61.719192,61.786618,60.940443,Buy
EUR / VND,欧元 / 越南盾,26128,-0.114687667,-30,26128,26148,26160,26128,Sell
EUR / VUV,欧元 / 瓦努阿图瓦图,128.63,-0.108720975,-0.14,128.63,128.83,128.79,128.63,Sell
EUR / WST,欧元 / 萨摩亚塔拉,2.9315,-0.095423099,-0.0028,2.9315,2.9335,2.9423,2.9315,Strong Sell
EUR / XAF,欧元 / 中非法郎,655.957,0,0,655.957,655.957,655.957,655.957,Neutral
EUR / XCD,欧元 / 东加勒比元,2.8051,-0.096160695,-0.0027,2.8051,2.8071,2.8086,2.8051,Sell
EUR / XPF,欧元 / 太平洋法郎,119.33,0,0,119.33,119.33,119.33,119.33,Neutral
EUR / YER,欧元 / 也门里亚尔,258.09,-0.112237789,-0.29,258.09,258.29,258.41,258.09,Sell
EUR / ZAR,欧元 / 南非兰特,19.28779,0.054935364,0.01059,19.2868,19.30579,19.3011,19.2703,Sell
EUR / ZMW,欧元 / 赞比亚克瓦查,29.2028,-0.114241933,-0.0334,29.2028,29.2048,29.2392,29.1966,Buy
